trade_symbol,underlying_symbol,analysis_symbol,session_focus,company,analysis_date,rating,action,score,log_path,status,error
GETTEX:AMD,AMD,AMD,both,AMD,2026-05-19,BUY,BUY,2,results/AMD/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:ASME,ASML,ASML,both,ASML Holding,2026-05-19,BUY,BUY,2,results/ASML/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:AUX,ASX,AUX.MU,both,ASX Limited,2026-05-19,BUY,BUY,2,results/AUX.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:ABEA,GOOGL,GOOGL,both,Alphabet,2026-05-19,BUY,BUY,2,results/GOOGL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:AMZ,AMZN,AMZN,both,Amazon.com,2026-05-19,BUY,BUY,2,results/AMZN/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:AMK,AMKR,AMKR,both,Amkor Technology,2026-05-19,BUY,BUY,2,results/AMKR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:AP2,AMAT,AMAT,both,Applied Materials,2026-05-19,BUY,BUY,2,results/AMAT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:A59,AAOI,AAOI,both,Applied Optoelectronics,2026-05-19,BUY,BUY,2,results/AAOI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:O9T,ARM,ARM,both,Arm Holdings,2026-05-19,BUY,BUY,2,results/ARM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:BS81,BSY,BSY,both,Bentley Systems,2026-05-19,BUY,BUY,2,results/BSY/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:1YD,AVGO,AVGO,both,Broadcom,2026-05-19,BUY,BUY,2,results/AVGO/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:CDS,CDNS,CDNS,both,Cadence Design Systems,2026-05-19,BUY,BUY,2,results/CDNS/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:CU3,COHU,COHU,both,Cohu,2026-05-19,BUY,BUY,2,results/COHU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:E7S,CEG,CEG,both,Constellation Energy,2026-05-19,BUY,BUY,2,results/CEG/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:CTO,COST,COST,both,Costco Wholesale,2026-05-19,BUY,BUY,2,results/COST/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:12DA,DELL,DELL,both,Dell Technologies,2026-05-19,BUY,BUY,2,results/DELL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:3EC,ETN,ETN,both,Eaton,2026-05-19,BUY,BUY,2,results/ETN/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:Y5C,GEV,GEV,both,GE Vernova,2026-05-19,BUY,BUY,2,results/GEV/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:G84,GNRC,GNRC,both,Generac,2026-05-19,BUY,BUY,2,results/GNRC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:KU1,KLIC,KLIC,both,Kulicke & Soffa,2026-05-19,BUY,BUY,2,results/KLIC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:LAR0,LRCX,LRCX,both,Lam Research,2026-05-19,BUY,BUY,2,results/LRCX/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:9MW,MRVL,MRVL,both,Marvell Technology,2026-05-19,BUY,BUY,2,results/MRVL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:JMX,MXL,MXL,both,MaxLinear,2026-05-19,BUY,BUY,2,results/MXL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:FB2A,META,META,both,Meta Platforms,2026-05-19,BUY,BUY,2,results/META/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:MSF,MSFT,MSFT,both,Microsoft,2026-05-19,BUY,BUY,2,results/MSFT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:NRA,NRG,NRG,both,NRG Energy,2026-05-19,BUY,BUY,2,results/NRG/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:NVD,NVDA,NVDA,both,NVIDIA,2026-05-19,BUY,BUY,2,results/NVDA/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:NFC,NFLX,NFLX,both,Netflix,2026-05-19,BUY,BUY,2,results/NFLX/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:RI4A,POET,POET,both,POET Technologies,2026-05-19,BUY,BUY,2,results/POET/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:PTX,PLTR,PLTR,both,Palantir,2026-05-19,BUY,BUY,2,results/PLTR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:PW2,POWL,POWL,both,Powell Industries,2026-05-19,BUY,BUY,2,results/POWL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:QAA,PWR,PWR,both,Quanta Services,2026-05-19,BUY,BUY,2,results/PWR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
XETR:RHM,RHM,RHM.DE,primary,Rheinmetall,2026-05-19,BUY,BUY,2,results/RHM.DE/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
