exchange_symbol,alt_symbol,mode,name,analysis_symbol,trade_date,status,rating,decision,log_path,elapsed_seconds,error
GETTEX:CTO,COST,both,Costco Wholesale,COST,2026-05-19,ok,BUY,BUY,results/COST/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,106.0,
GETTEX:HY9H,HY9H,both,SK hynix,HY9H.MU,2026-05-19,ok,BUY,HOLD,results/HY9H.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,105.2,
GETTEX:F3M,TEM,both,Tempus AI,TEM,2026-05-19,ok,BUY,BUY,results/TEM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,118.5,
GETTEX:TSFA,TSM,both,Taiwan Semiconductor Manufacturing,TSM,2026-05-19,ok,BUY,BUY,results/TSM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,100.3,
GETTEX:VSA,VSA,both,Valeo,VSA.MU,2026-05-19,ok,BUY,BUY,results/VSA.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,110.3,
GETTEX:6B0,SOFI,both,SoFi Technologies,SOFI,2026-05-19,ok,BUY,BUY,results/SOFI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,116.2,
GETTEX:AMD,AMD,both,AMD,AMD,2026-05-19,ok,BUY,BUY,results/AMD/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,127.7,
GETTEX:ASME,ASML,both,ASML Holding,ASML,2026-05-19,ok,BUY,BUY,results/ASML/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,106.4,
GETTEX:FB2A,META,both,Meta Platforms,META,2026-05-19,ok,BUY,BUY,results/META/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,115.0,
GETTEX:ABEA,GOOGL,both,Alphabet,GOOGL,2026-05-19,ok,BUY,BUY,results/GOOGL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,112.7,
GETTEX:AMZ,AMZN,both,Amazon.com,AMZN,2026-05-19,ok,BUY,BUY,results/AMZN/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,107.3,
GETTEX:MSF,MSFT,both,Microsoft,MSFT,2026-05-19,ok,BUY,BUY,results/MSFT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,98.0,
GETTEX:9MW,MRVL,both,Marvell Technology,MRVL,2026-05-19,ok,BUY,BUY,results/MRVL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,102.6,
GETTEX:MTE,MU,both,Micron Technology,MU,2026-05-19,ok,BUY,HOLD,results/MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,102.5,
GETTEX:NFC,NFLX,both,Netflix,NFLX,2026-05-19,ok,BUY,BUY,results/NFLX/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,115.9,
GETTEX:NVD,NVDA,both,NVIDIA,NVDA,2026-05-19,ok,BUY,BUY,results/NVDA/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,106.8,
GETTEX:PTX,PLTR,both,Palantir,PLTR,2026-05-19,ok,BUY,BUY,results/PLTR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,112.9,
GETTEX:TL0,TSLA,both,Tesla,TSLA,2026-05-19,ok,BUY,HOLD,results/TSLA/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,104.1,
GETTEX:1YD,AVGO,both,Broadcom,AVGO,2026-05-19,ok,BUY,BUY,results/AVGO/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,105.4,
GETTEX:MS51,SMCI,both,Super Micro Computer,SMCI,2026-05-19,ok,BUY,BUY,results/SMCI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,119.2,
GETTEX:0V6,VST,both,Vistra,VST,2026-05-19,ok,BUY,SELL,results/VST/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,122.5,
GETTEX:3EC,ETN,both,Eaton,ETN,2026-05-19,ok,BUY,BUY,results/ETN/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,107.8,
GETTEX:NRA,NRG,both,NRG Energy,NRG,2026-05-19,ok,BUY,BUY,results/NRG/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,126.4,
GETTEX:HUEC,HUBB,both,Hubbell,HUBB,2026-05-19,ok,BUY,HOLD,results/HUBB/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,107.1,
NYSE:NVT,NVT,primary,nVent Electric,NVT,2026-05-19,ok,BUY,BUY,results/NVT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,119.5,
GETTEX:49V,VRT,both,Vertiv,VRT,2026-05-19,ok,BUY,HOLD,results/VRT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,126.4,
GETTEX:TEY,TER,both,Teradyne,TER,2026-05-19,ok,BUY,HOLD,results/TER/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,111.4,
GETTEX:QAA,PWR,both,Quanta Services,PWR,2026-05-19,ok,BUY,BUY,results/PWR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,100.3,
GETTEX:Y5C,GEV,both,GE Vernova,GEV,2026-05-19,ok,BUY,BUY,results/GEV/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,113.8,
GETTEX:E7S,CEG,both,Constellation Energy,CEG,2026-05-19,ok,BUY,BUY,results/CEG/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,110.7,
GETTEX:MMF,MOD,both,Modine Manufacturing,MOD,2026-05-19,ok,BUY,HOLD,results/MOD/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,101.5,
GETTEX:AMK,AMKR,both,Amkor Technology,AMKR,2026-05-19,ok,BUY,BUY,results/AMKR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,102.2,
GETTEX:PW2,POWL,both,Powell Industries,POWL,2026-05-19,ok,BUY,BUY,results/POWL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,102.5,
GETTEX:KU1,KLIC,both,Kulicke & Soffa,KLIC,2026-05-19,ok,BUY,BUY,results/KLIC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,103.3,
GETTEX:G84,GNRC,both,Generac,GNRC,2026-05-19,ok,BUY,BUY,results/GNRC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,109.1,
GETTEX:CU3,COHU,both,Cohu,COHU,2026-05-19,ok,BUY,BUY,results/COHU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,112.8,
GETTEX:1170,ANET,both,Arista Networks,ANET,2026-05-19,ok,BUY,HOLD,results/ANET/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,104.5,
GETTEX:12DA,DELL,both,Dell Technologies,DELL,2026-05-19,ok,BUY,BUY,results/DELL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,125.9,
GETTEX:AP2,AMAT,both,Applied Materials,AMAT,2026-05-19,ok,BUY,BUY,results/AMAT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,119.4,
GETTEX:LAR0,LRCX,both,Lam Research,LRCX,2026-05-19,ok,BUY,BUY,results/LRCX/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,114.8,
GETTEX:ORC,ORCL,both,Oracle,ORCL,2026-05-19,ok,BUY,HOLD,results/ORCL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,103.9,
GETTEX:QCI,QCOM,both,Qualcomm,QCOM,2026-05-19,ok,BUY,HOLD,results/QCOM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,107.8,
GETTEX:1MA,MTSI,both,MACOM Technology Solutions,MTSI,2026-05-19,ok,BUY,HOLD,results/MTSI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,121.6,
GETTEX:VEO,VECO,both,Veeco Instruments,VECO,2026-05-19,ok,BUY,HOLD,results/VECO/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,116.0,
GETTEX:AOY,AOSL,both,Alpha and Omega Semiconductor,AOSL,2026-05-19,ok,BUY,HOLD,results/AOSL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,96.2,
GETTEX:INL,INTC,both,Intel,INTC,2026-05-19,ok,BUY,HOLD,results/INTC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,122.5,
GETTEX:SM2,SMTC,both,Semtech,SMTC,2026-05-19,ok,BUY,BUY,results/SMTC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,113.8,
GETTEX:JMX,MXL,both,MaxLinear,MXL,2026-05-19,ok,BUY,BUY,results/MXL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,109.1,
GETTEX:A59,AAOI,both,Applied Optoelectronics,AAOI,2026-05-19,ok,BUY,BUY,results/AAOI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,103.7,
GETTEX:RI4A,POET,both,POET Technologies,POET,2026-05-19,ok,BUY,BUY,results/POET/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,127.9,
GETTEX:O9T,ARM,both,Arm Holdings,ARM,2026-05-19,ok,BUY,BUY,results/ARM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,122.2,
