trade_symbol,underlying_symbol,session_focus,notes,trigger_reason
GETTEX:MMF,MOD,triggered,Modine Manufacturing,1D MOVE -3.1%; 5D MOVE -13.3%
GETTEX:VEO,VECO,triggered,Veeco Instruments,1D MOVE -3.6%; 5D MOVE -12.7%
GETTEX:49V,VRT,triggered,Vertiv,1D MOVE -4.1%; 5D MOVE -11.3%
GETTEX:AMD,AMD,triggered,AMD,1D MOVE -3.8%; 5D MOVE -9.6%
GETTEX:AMK,AMKR,triggered,Amkor Technology,1D MOVE -3.1%; 5D MOVE -12.9%
GETTEX:A59,AAOI,triggered,Applied Optoelectronics,1D MOVE -3.9%; 5D MOVE -11.5%
GETTEX:CU3,COHU,triggered,Cohu,1D MOVE -3.8%; 5D MOVE -13.8%
GETTEX:G84,GNRC,triggered,Generac,1D MOVE -3.2%; 5D MOVE -9.1%
GETTEX:RI4A,POET,triggered,POET Technologies,1D MOVE -12.0%; 5D MOVE -8.9%
GETTEX:PW2,POWL,triggered,Powell Industries,1D MOVE -4.0%; 5D MOVE -16.8%
GETTEX:847,STX,triggered,Seagate Technology,1D MOVE -3.0%; 5D MOVE -11.2%
NYSE:NVT,NVT,triggered,nVent Electric,1D MOVE -3.2%; 5D MOVE -8.9%
GETTEX:SM2,SMTC,triggered,Semtech,1D MOVE -3.3%; RSI HIGH 72
GETTEX:NRA,NRG,triggered,NRG Energy,5D MOVE -10.5%; RSI LOW 26
GETTEX:VSA,VSA.MU,triggered,Valeo,5D MOVE +7.8%; RSI HIGH 81
GETTEX:0V6,VST,triggered,Vistra,5D MOVE -7.9%
GETTEX:QCI,QCOM,triggered,Qualcomm,1D MOVE -3.8%
GETTEX:HY9H,HY9H.MU,triggered,SK hynix,1D MOVE -3.2%
GETTEX:INL,INTC,triggered,Intel,5D MOVE -11.5%
GETTEX:LU2,LITE,triggered,Lumentum Holdings,5D MOVE -11.7%
GETTEX:MTE,MU,triggered,Micron Technology,5D MOVE -11.8%
GETTEX:NQG,MPWR,triggered,Monolithic Power Systems,5D MOVE -9.5%
GETTEX:TEY,TER,triggered,Teradyne,5D MOVE -12.6%
GETTEX:TL0,TSLA,triggered,Tesla,5D MOVE -8.0%
GETTEX:KU1,KLIC,triggered,Kulicke & Soffa,1D MOVE -3.5%
GETTEX:JMX,MXL,triggered,MaxLinear,1D MOVE +3.4%
XETR:RHM,RHM.DE,triggered,Rheinmetall,1D MOVE +3.5%
GETTEX:E7S,CEG,triggered,Constellation Energy,5D MOVE -11.3%
GETTEX:3EC,ETN,triggered,Eaton,5D MOVE -7.4%
GETTEX:QAA,PWR,triggered,Quanta Services,5D MOVE -8.1%
GETTEX:MS51,SMCI,triggered,Super Micro Computer,5D MOVE -7.6%
GETTEX:WDC,WDC,triggered,Western Digital,5D MOVE -8.9%
GETTEX:1170,ANET,triggered,Arista Networks,RSI LOW 27
GETTEX:HUEC,HUBB,triggered,Hubbell,RSI LOW 8
GETTEX:1MA,MTSI,triggered,MACOM Technology Solutions,RSI HIGH 75
GETTEX:ABEA,GOOGL,triggered,Alphabet,RSI HIGH 71
GETTEX:CTO,COST,triggered,Costco Wholesale,RSI HIGH 78
GETTEX:FB2A,META,triggered,Meta Platforms,RSI LOW 28
