trade_symbol,underlying_symbol,analysis_symbol,session_focus,company,analysis_date,rating,action,score,log_path,status,error
GETTEX:AMD,AMD,AMD,triggered,AMD,2026-05-19,BUY,BUY,2,results/AMD/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:ABEA,GOOGL,GOOGL,triggered,Alphabet,2026-05-19,BUY,BUY,2,results/GOOGL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:AMK,AMKR,AMKR,triggered,Amkor Technology,2026-05-19,BUY,BUY,2,results/AMKR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:A59,AAOI,AAOI,triggered,Applied Optoelectronics,2026-05-19,BUY,BUY,2,results/AAOI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:CU3,COHU,COHU,triggered,Cohu,2026-05-19,BUY,BUY,2,results/COHU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:E7S,CEG,CEG,triggered,Constellation Energy,2026-05-19,BUY,BUY,2,results/CEG/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:CTO,COST,COST,triggered,Costco Wholesale,2026-05-19,BUY,BUY,2,results/COST/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:3EC,ETN,ETN,triggered,Eaton,2026-05-19,BUY,BUY,2,results/ETN/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:G84,GNRC,GNRC,triggered,Generac,2026-05-19,BUY,BUY,2,results/GNRC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:KU1,KLIC,KLIC,triggered,Kulicke & Soffa,2026-05-19,BUY,BUY,2,results/KLIC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:JMX,MXL,MXL,triggered,MaxLinear,2026-05-19,BUY,BUY,2,results/MXL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:FB2A,META,META,triggered,Meta Platforms,2026-05-19,BUY,BUY,2,results/META/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:NRA,NRG,NRG,triggered,NRG Energy,2026-05-19,BUY,BUY,2,results/NRG/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:RI4A,POET,POET,triggered,POET Technologies,2026-05-19,BUY,BUY,2,results/POET/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:PW2,POWL,POWL,triggered,Powell Industries,2026-05-19,BUY,BUY,2,results/POWL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:QAA,PWR,PWR,triggered,Quanta Services,2026-05-19,BUY,BUY,2,results/PWR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
XETR:RHM,RHM.DE,RHM.DE,triggered,Rheinmetall,2026-05-19,BUY,BUY,2,results/RHM.DE/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:847,STX,STX,triggered,Seagate Technology,2026-05-19,BUY,BUY,2,results/STX/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:SM2,SMTC,SMTC,triggered,Semtech,2026-05-19,BUY,BUY,2,results/SMTC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:MS51,SMCI,SMCI,triggered,Super Micro Computer,2026-05-19,BUY,BUY,2,results/SMCI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:VSA,VSA.MU,VSA.MU,triggered,Valeo,2026-05-19,BUY,BUY,2,results/VSA.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:WDC,WDC,WDC,triggered,Western Digital,2026-05-19,BUY,BUY,2,results/WDC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
NYSE:NVT,NVT,NVT,triggered,nVent Electric,2026-05-19,BUY,BUY,2,results/NVT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:1170,ANET,ANET,triggered,Arista Networks,2026-05-19,HOLD,HOLD,0,results/ANET/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:HUEC,HUBB,HUBB,triggered,Hubbell,2026-05-19,HOLD,HOLD,0,results/HUBB/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:INL,INTC,INTC,triggered,Intel,2026-05-19,HOLD,HOLD,0,results/INTC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:LU2,LITE,LITE,triggered,Lumentum Holdings,2026-05-19,HOLD,HOLD,0,results/LITE/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:1MA,MTSI,MTSI,triggered,MACOM Technology Solutions,2026-05-19,HOLD,HOLD,0,results/MTSI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:MTE,MU,MU,triggered,Micron Technology,2026-05-19,HOLD,HOLD,0,results/MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:MMF,MOD,MOD,triggered,Modine Manufacturing,2026-05-19,HOLD,HOLD,0,results/MOD/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:NQG,MPWR,MPWR,triggered,Monolithic Power Systems,2026-05-19,HOLD,HOLD,0,results/MPWR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:QCI,QCOM,QCOM,triggered,Qualcomm,2026-05-19,HOLD,HOLD,0,results/QCOM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:HY9H,HY9H.MU,HY9H.MU,triggered,SK hynix,2026-05-19,HOLD,HOLD,0,results/HY9H.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:TEY,TER,TER,triggered,Teradyne,2026-05-19,HOLD,HOLD,0,results/TER/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:TL0,TSLA,TSLA,triggered,Tesla,2026-05-19,HOLD,HOLD,0,results/TSLA/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:VEO,VECO,VECO,triggered,Veeco Instruments,2026-05-19,HOLD,HOLD,0,results/VECO/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:49V,VRT,VRT,triggered,Vertiv,2026-05-19,HOLD,HOLD,0,results/VRT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
GETTEX:0V6,VST,VST,triggered,Vistra,2026-05-19,SELL,SELL,-2,results/VST/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,existing,
