company,trade_symbol,analysis_symbol,baseline_rating,baseline_date,latest_price_date,close,pct_1d,pct_5d,pct_20d,rsi_14,volume_ratio_20d,vs_sma_50,vs_sma_200,triggers,priority,log_path,error
Costco Wholesale,GETTEX:CTO,COST,BUY,2026-05-19,2026-05-19,1093.0899658203125,1.5439348583343948,6.96852473844678,8.835273517114285,79.03176020243131,0.2970030399600546,8.905779050411834,14.65224247561492,RSI HIGH 79,8,results/COST/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
SK hynix,GETTEX:HY9H,HY9H.MU,HOLD,2026-05-19,2026-05-19,970.0,-3.960396039603964,-6.730769230769229,40.98837209302326,62.57668711656442,0.27126710291493156,37.354856981025186,127.66546228805518,1D MOVE -4.0%,24,results/HY9H.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Tempus AI,GETTEX:F3M,TEM,BUY,2026-05-19,2026-05-19,43.91999816894531,0.6877561769981,-6.453679541547331,-20.36265284900122,34.765229397253066,0.27967046267403406,-11.138630517212789,-33.90285691209568,,0,results/TEM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Taiwan Semiconductor Manufacturing,GETTEX:TSFA,TSM,BUY,2026-05-19,2026-05-19,386.54998779296875,-2.3740432186544536,-2.700868661724154,5.017931399287545,46.804214587617466,0.26221985558928496,4.6442710515191665,23.041409875449492,,0,results/TSM/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Valeo,GETTEX:VSA,VSA.MU,BUY,2026-05-19,2026-05-19,6.199999809265137,0.0,7.826083639393677,11.711704435891356,80.95235716459054,,13.845020089335037,10.464750260084465,5D MOVE +7.8%; RSI HIGH 81,26,results/VSA.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
SoFi Technologies,GETTEX:6B0,SOFI,BUY,2026-05-19,2026-05-19,15.109000205993652,-3.825587719248724,-4.97483919191275,-19.76101823042412,46.16661039413678,0.2523573772697906,-10.655151537893037,-35.47979273602898,1D MOVE -3.8%,20,results/SOFI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
AMD,GETTEX:AMD,AMD,BUY,2026-05-19,2026-05-19,395.8699951171875,-5.9668865530989486,-11.693326290693252,39.150764071190316,61.43813462421312,0.278143127355911,37.623256423069094,74.7515022277876,1D MOVE -6.0%; 5D MOVE -11.7%,38,results/AMD/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
ASML Holding,GETTEX:ASME,ASML,BUY,2026-05-19,2026-05-19,1450.800048828125,-1.4663211245335428,-4.611614875027492,-0.3427852509099161,54.51492258136608,0.2800367140890317,2.1130701534336493,25.02946613234396,,0,results/ASML/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Meta Platforms,GETTEX:FB2A,META,BUY,2026-05-19,2026-05-19,608.0,-0.525191318410656,0.8291873963515828,-9.096349562317062,25.989927849180518,0.1919088715628461,-1.9933688831008323,-9.401581310781616,RSI LOW 26,8,results/META/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Alphabet,GETTEX:ABEA,GOOGL,BUY,2026-05-19,2026-05-19,390.7200012207031,-1.5669877519137843,0.8700129247672939,17.584035382719666,71.0684021975936,0.34167442837556533,16.148686802404377,33.307109593154436,RSI HIGH 71,8,results/GOOGL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
